TOTO;Titi;tititoto@gmail.com;0657743254;27/07/1998
TRANCHANT;Eloi;eloi.tranchant@hotmail.fr;0661135868;05/02/2004
TRANCHANT;Albert;albert@gmail.com;0756374524;27/05/1998
ABABA;Hihi;ababa@gmail.com;0656387826;30/01/2001
AZERTY;Qsdfg;azerty@gmail.com;0656432434;23/09/1998
WILFRIED;John;john.wilfried@gmail.com;0656764534;23/12/1990
ENFINNNNN;Null;ouiiiiiii@tyuio.mp;0989788767;09/09/2033
HIHI;Null;srfghjk@ki.jhy;0878675645;30/10/1908
NULL;Null;zertyu@jkl.gt;0978675434;10/12/1290
MODIFIER;Null;cestbonpourvous@squeezie.fr;0445653452;09/08/3089
FIN;Kiki;azertyu@erty.ftr;0101010101;02/02/2003
